object_code,object_description,2019_actuals,2020_actuals,2021_budget,2021_actuals,2022_proposed_budget,2022_adopted_budget,fund_number,fund_name,org_key,department,fund_category,report_date
3111110,Real Property Tax-Curr Year,12579623,12339879,11403230,11784350,12722090,12722090,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3111310,Timber Tax - Current Year,2879,4395,2720,684,2960,2960,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3111810,Early Payment Discount,-101550,-97424,-89410,-428834,-90060,-90060,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3113110,Motor Vehicles - Current Year,208880,196751,143930,230775,120580,120580,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3113150,TAVT,6009796,9272792,10268080,9983427,11700000,11700000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3113151,TAVT-L,1479059,0,0,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3113152,TAVT-S,1515740,0,0,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3113210,Mobile Homes - Current Year,39314,32975,33700,38571,36900,36900,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3113310,Rail Road Equipment-Current Yr,25011,27742,25000,16643,25000,25000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3116110,Real Estate Transfer,420940,393921,360000,651999,460000,460000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3116120,Recording Intangible Tax,1027691,1223366,850000,1503283,1300000,1300000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3117110,Electric Franchise Tax,12948914,12693098,12700000,11185786,11190000,11190000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3117210,Water Franchise Tax (In Lieu),5252840,5278260,5207840,5207840,5536880,5536880,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3117310,Gas Franchise Tax,883321,860100,840000,942304,900000,900000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3117510,Television Cable Franchise Tax,2066211,2030405,2040000,1507421,2000000,2000000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3117610,Telephone Franchise Tax,339639,294055,325000,252888,325000,325000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3117710,Waste Mgmt Franchise In Lieu.,1986010,1954800,2098180,2098180,2152830,2152830,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3117810,Stormwater Franchise In Lieu,816110,816110,0,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3117910,Other Franchise Tax,85000,85000,85000,85000,85000,85000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3131110,Local Option Sales & Use Tax,8208355,9048679,6914870,6334716,10543770,10543770,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3142110,Alcoholic Beverage Excise Tax,2611709,2625650,2600000,2760883,2780000,2780000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3143110,Local Option Mixed Drink Tax,801513,602555,765000,941782,825000,825000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3145110,Energy Excise Tax,0,0,0,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3191110,Penalities - Delinquent Taxes,1161213,962056,1100000,1114300,1100000,1100000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3195110,Pen & Int-Fi Fa-Lot CleanupFee,6910,620,0,1828,1500,1500,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3211110,Alcoholic Licenses - Beer,1339299,1319418,1400000,578645,1400000,1400000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3229440,Location Permits,15331,13214,15000,12624,15000,15000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3233110,Late Tag Penalty,60945,0,0,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3331110,Fed Govt Pymts in Lieu of Tax,0,147,0,149,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3343113,Reimbrsm't-other,25798,32196,20000,22073,20000,20000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3371110,Local Govt -Pymt in Lieu Tax,2984337,2942494,2390280,2427411,2413550,2413550,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3411410,"Court Costs, Fees & Charges",826892,1113988,700000,1103879,1100000,1100000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
